order_id,order_date,region,city,category,product,channel,segment,units,unit_price,discount_pct,revenue,cost,profit,returned,customer_id
ORD-100032,2023-01-12,North,Jaipur,Home & Kitchen,Espresso Machine,Online,Consumer,1,2129.55,0.2,1703.64,901.6,802.04,No,CUST-1271
ORD-100033,2023-01-12,East,Guwahati,Beauty,Hair Oil,Online,Consumer,1,518.33,0.3,362.83,279.79,83.04,No,CUST-1178
ORD-100034,2023-01-13,North,Jaipur,Apparel,Wool Sweater,Online,Consumer,2,1000.19,0.0,2000.38,1331.25,669.13,No,CUST-1493
ORD-100035,2023-01-13,North,Delhi,Beauty,Hair Oil,Online,Home Office,6,474.04,0.0,2844.24,2128.34,715.9,No,CUST-1346
ORD-100036,2023-01-14,North,Lucknow,Electronics,4K Monitor,Online,Corporate,7,2758.82,0.3,13518.22,10397.9,3120.32,No,CUST-1415
ORD-100037,2023-01-14,South,Chennai,Electronics,Smart Watch,Retail Store,Consumer,8,2674.95,0.15,18189.66,11593.79,6595.87,No,CUST-1724
ORD-100038,2023-01-15,North,Jaipur,Electronics,Wireless Earbuds,Online,Consumer,5,3103.08,0.3,10860.78,8470.3,2390.48,No,CUST-1482
ORD-100039,2023-01-16,North,,Electronics,Wireless Earbuds,Online,Corporate,4,3220.0,0.2,10304.0,7245.97,3058.03,No,CUST-1336
ORD-100040,2023-01-17,West,Ahmedabad,Beauty,Sunscreen SPF50,Online,Consumer,8,513.78,0.2,3288.19,2048.08,1240.11,No,CUST-1720
ORD-100041,2023-01-17,North,Chandigarh,Apparel,Cotton T-Shirt,Online,Consumer,2,729.46,0.0,1458.92,971.83,487.09,No,CUST-1341
ORD-100042,2023-01-17,South,Bengaluru,Electronics,Bluetooth Speaker,Retail Store,Corporate,6,2305.69,0.1,12450.73,6401.04,6049.69,No,CUST-1862
ORD-100043,2023-01-17,North,Jaipur,Apparel,Cotton T-Shirt,Retail Store,Consumer,7,1071.72,0.05,7126.94,3233.07,3893.87,No,CUST-1887
ORD-100044,2023-01-18,South,Hyderabad,Apparel,Cotton T-Shirt,Retail Store,Consumer,5,1304.55,0.25,4892.06,2615.98,2276.08,No,CUST-1422
ORD-100045,2023-01-18,North,Jaipur,Apparel,Rain Jacket,Retail Store,Consumer,3,1018.76,0.0,3056.28,1814.03,1242.25,No,CUST-1693
ORD-100046,2023-01-19,East,Kolkata,Electronics,Power Bank,Online,Consumer,5,2689.92,0.0,13449.6,7064.5,-2343.87,Yes,CUST-1637
ORD-100047,2023-01-19,North,Lucknow,Home & Kitchen,Chef Knife,Online,Home Office,8,2291.4,0.15,15581.52,9654.81,5926.71,No,CUST-1774
ORD-100048,2023-01-20,West,Pune,Electronics,Bluetooth Speaker,Retail Store,Corporate,2,2219.06,0.3,3106.68,2072.53,1034.15,No,CUST-1415
ORD-100049,2023-01-20,West,Ahmedabad,Beauty,Hair Oil,Online,Home Office,5,635.36,0.3,2223.76,1481.94,741.82,No,CUST-1366
ORD-100050,2023-01-20,North,Jaipur,Electronics,Power Bank,Online,Home Office,1,3082.01,0.15,2619.71,1951.53,668.18,No,CUST-1248
ORD-100051,2023-01-21,North,Chandigarh,Home & Kitchen,Chef Knife,Online,Consumer,2,1863.71,0.05,3541.05,2722.66,818.39,No,CUST-1527
ORD-100052,2023-01-21,North,Lucknow,Beauty,Hair Oil,Retail Store,Consumer,7,475.52,0.0,3328.64,2476.27,852.37,No,CUST-1554
ORD-100053,2023-01-21,East,Patna,Electronics,Wireless Earbuds,Online,Corporate,4,2619.0,0.3,7333.2,4800.74,2532.46,No,CUST-1405
ORD-100054,2023-01-21,North,Delhi,Electronics,Smart Watch,Partner,Consumer,2,3818.24,0.0,7636.48,3954.95,3681.53,No,CUST-1279
ORD-100055,2023-01-22,West,Ahmedabad,Sports,Running Shoes,Online,Home Office,3,1281.13,0.0,3843.39,2926.12,917.27,No,CUST-1405
ORD-100056,2023-01-22,East,Patna,Apparel,Wool Sweater,Online,Consumer,1,1021.94,0.1,919.75,466.96,452.79,No,CUST-1451
ORD-100057,2023-01-22,East,Bhubaneswar,Home & Kitchen,Chef Knife,Online,Consumer,7,2464.82,0.05,16391.05,8195.05,8196.0,No,CUST-1114
ORD-100058,2023-01-22,South,,Electronics,Power Bank,Online,Corporate,8,2482.51,0.1,17874.07,9916.5,-2356.34,Yes,CUST-1594
ORD-100059,2023-01-22,West,Mumbai,Electronics,4K Monitor,Online,Home Office,1,3092.94,0.3,2165.06,1384.1,780.96,No,CUST-1757
ORD-100060,2023-01-23,North,Delhi,Apparel,Wool Sweater,Retail Store,Corporate,2,1048.78,0.0,2097.56,1415.61,681.95,No,CUST-1289
ORD-100061,2023-01-23,South,Bengaluru,Beauty,Sunscreen SPF50,Online,Consumer,7,325.53,0.25,1709.03,776.56,932.47,No,CUST-1351
ORD-100062,2023-01-23,North,Lucknow,Electronics,Wireless Earbuds,Online,Consumer,8,3133.56,0.0,25068.48,17717.08,7351.4,No,CUST-1083
ORD-100063,2023-01-23,West,Surat,Beauty,Vitamin C Serum,Online,Consumer,7,489.88,0.0,3429.16,1741.18,1687.98,No,CUST-1523
ORD-100064,2023-01-25,South,Hyderabad,Home & Kitchen,Espresso Machine,Online,Corporate,6,2254.72,0.0,13528.32,7411.35,6116.97,No,CUST-1384
ORD-100065,2023-01-25,East,Bhubaneswar,Electronics,Wireless Earbuds,Partner,Consumer,7,2993.83,,16765.45,9326.43,7439.02,No,CUST-1771
ORD-100066,2023-01-27,North,Lucknow,Electronics,Power Bank,Online,Corporate,3,3140.62,0.25,7066.4,3955.11,3111.29,No,CUST-1816
ORD-100067,2023-01-27,West,Pune,Electronics,Smart Watch,Retail Store,Consumer,8,3846.26,0.25,23077.56,16175.55,6902.01,No,CUST-1696
ORD-100068,2023-01-28,South,Chennai,Apparel,Wool Sweater,Online,Consumer,8,733.73,0.0,5869.84,2720.74,3149.1,No,CUST-1189
ORD-100069,2023-01-28,South,Hyderabad,Home & Kitchen,Cookware Set,Online,Home Office,2,2029.33,0.2,3246.93,1671.68,1575.25,No,CUST-1178
ORD-100070,2023-01-28,West,Pune,Apparel,Rain Jacket,Retail Store,Consumer,1,1136.68,0.0,1136.68,519.88,-312.91,Yes,CUST-1437
ORD-100071,2023-01-28,South,Bengaluru,Electronics,Power Bank,Online,Corporate,218,3289.29,0.15,609505.44,377893.37,231612.07,No,CUST-1556
ORD-100072,2023-01-29,South,Hyderabad,Home & Kitchen,Espresso Machine,Retail Store,Consumer,7,2417.96,0.2,13540.58,10488.92,3051.66,No,CUST-1028
ORD-100073,2023-01-29,South,Kochi,Home & Kitchen,Air Fryer,Online,Home Office,7,3527.12,0.0,24689.84,16484.19,8205.65,No,CUST-1446
ORD-100074,2023-01-29,North,Delhi,Apparel,Rain Jacket,Online,Consumer,2,1126.25,0.0,2252.5,1452.29,800.21,No,CUST-1078
ORD-100075,2023-01-30,North,Delhi,Home & Kitchen,Cookware Set,Partner,Consumer,4,2744.24,0.0,10976.96,8229.01,2747.95,No,CUST-1234
ORD-100076,2023-01-30,North,Jaipur,Electronics,4K Monitor,Online,Corporate,7,2776.74,0.2,15549.74,8305.66,7244.08,No,CUST-1323
ORD-100077,2023-02-01,North,Lucknow,Home & Kitchen,Air Fryer,Partner,Corporate,1,2034.11,0.15,1728.99,815.97,913.02,No,CUST-1036
ORD-100078,2023-02-01,West,Ahmedabad,Apparel,Denim Jeans,Partner,Consumer,6,1094.35,0.0,6566.1,4059.75,2506.35,No,CUST-1236
ORD-100079,2023-02-02,South,Hyderabad,Apparel,Wool Sweater,Online,Consumer,3,1360.09,0.1,3672.24,1968.01,1704.23,No,CUST-1566
ORD-100080,2023-02-02,South,Hyderabad,Electronics,4K Monitor,Online,Consumer,1,3844.34,0.25,2883.26,1726.66,1156.6,No,CUST-1898
ORD-100081,2023-02-02,South,,Home & Kitchen,Cookware Set,Retail Store,Home Office,2,2836.07,0.0,5672.14,3406.57,2265.57,No,CUST-1701
ORD-100082,2023-02-02,South,Hyderabad,Home & Kitchen,Chef Knife,Online,Corporate,6,2482.69,0.15,12661.72,7029.97,5631.75,No,CUST-1275
ORD-100083,2023-02-02,East,Kolkata,Apparel,Denim Jeans,Retail Store,Home Office,7,1080.18,0.0,7561.26,4616.05,2945.21,No,CUST-1847
ORD-100084,2023-02-03,West,Mumbai,Beauty,Sunscreen SPF50,Online,Home Office,1,565.33,0.0,565.33,325.32,240.01,No,CUST-1396
ORD-100085,2023-02-03,West,Surat,Beauty,Hair Oil,Online,Consumer,4,682.59,0.05,2593.84,1264.0,1329.84,No,CUST-1319
ORD-100086,2023-02-03,South,Hyderabad,Electronics,Power Bank,Online,Consumer,2,4186.81,0.05,7954.94,5854.99,2099.95,No,CUST-1762
ORD-100087,2023-02-04,North,Delhi,Home & Kitchen,Espresso Machine,Retail Store,Corporate,6,2031.04,0.1,10967.62,7473.56,3494.06,No,CUST-1359
ORD-100088,2023-02-05,South,Chennai,Apparel,Cotton T-Shirt,Retail Store,Corporate,7,1375.91,0.0,9631.37,4465.41,5165.96,No,CUST-1664
ORD-100089,2023-02-06,South,Bengaluru,Sports,Running Shoes,Retail Store,Corporate,8,1370.49,0.05,10415.72,5085.05,5330.67,No,CUST-1146
ORD-100090,2023-02-06,South,Hyderabad,Electronics,Power Bank,Online,Consumer,3,3901.3,0.15,9948.32,4793.6,5154.72,No,CUST-1299
ORD-100091,2023-02-07,East,Patna,Electronics,4K Monitor,Online,Home Office,3,3387.87,0.05,9655.43,4541.68,5113.75,No,CUST-1886
ORD-100092,2023-02-07,South,Chennai,Apparel,Cotton T-Shirt,Online,Corporate,3,1585.61,0.15,4043.31,1898.29,2145.02,No,CUST-1219
ORD-100093,2023-02-07,North,Jaipur,Electronics,4K Monitor,Online,Corporate,7,3213.36,0.0,22493.52,11288.31,11205.21,No,CUST-1764
ORD-100094,2023-02-07,South,Bengaluru,Home & Kitchen,Chef Knife,Online,,4,2715.25,0.0,10861.0,7926.32,2934.68,No,CUST-1419
ORD-100095,2023-02-07,South,Chennai,Apparel,Cotton T-Shirt,Retail Store,Consumer,1,1337.64,0.25,1003.23,725.65,277.58,No,CUST-1861
ORD-100096,2023-02-08,North,Jaipur,Electronics,4K Monitor,Online,Corporate,8,2860.35,0.1,20594.52,14589.95,6004.57,No,CUST-1374
ORD-100097,2023-02-09,North,Delhi,Apparel,Wool Sweater,Online,Corporate,1,1161.75,0.15,987.49,644.69,342.8,No,CUST-1445
ORD-100098,2023-02-09,East,,Beauty,Face Wash,Retail Store,Consumer,8,555.84,0.2,3557.38,2450.16,1107.22,No,CUST-1355
ORD-100099,2023-02-09,South,Kochi,Beauty,Hair Oil,Online,Consumer,2,523.84,0.0,1047.68,726.77,-467.42,Yes,CUST-1188
ORD-100100,2023-02-09,North,Lucknow,Apparel,Rain Jacket,Partner,Corporate,5,1067.17,0.3,3735.1,2776.95,958.15,No,CUST-1759
ORD-100101,2023-02-09,South,Chennai,Electronics,Bluetooth Speaker,Online,Home Office,3,4412.51,0.05,12575.65,8698.24,3877.41,No,CUST-1515
ORD-100102,2023-02-10,East,Patna,Electronics,Bluetooth Speaker,Online,Consumer,6,3079.05,0.3,12932.01,8962.29,3969.72,No,CUST-1454
ORD-100103,2023-02-10,North,Delhi,Beauty,Hair Oil,Partner,Consumer,4,664.79,,2526.2,1807.11,719.09,No,CUST-1334
ORD-100104,2023-02-10,West,Surat,Home & Kitchen,Air Fryer,Retail Store,Consumer,3,2799.68,0.05,7979.09,5055.53,2923.56,No,CUST-1695
ORD-100105,2023-02-10,West,Pune,Home & Kitchen,Espresso Machine,Retail Store,Consumer,4,1814.12,0.15,6168.01,3209.21,2958.8,No,CUST-1313
ORD-100106,2023-02-10,South,Hyderabad,Beauty,Sunscreen SPF50,Online,Consumer,8,659.09,0.0,5272.72,2519.83,-2258.33,Yes,CUST-1213
ORD-100107,2023-02-11,East,Kolkata,Electronics,Power Bank,Online,Consumer,2,2446.02,0.15,4158.23,2446.22,1712.01,No,CUST-1074
ORD-100108,2023-02-12,North,Lucknow,Home & Kitchen,Cookware Set,Retail Store,Corporate,2,2982.94,0.3,4176.12,2005.61,2170.51,No,CUST-1785
ORD-100109,2023-02-13,West,Pune,Electronics,Bluetooth Speaker,Online,Consumer,1,3155.26,0.15,2681.97,1356.73,1325.24,No,CUST-1065
ORD-100110,2023-02-13,South,Kochi,Electronics,Power Bank,Online,Consumer,6,3558.89,0.0,21353.34,9776.99,11576.35,No,CUST-1760
ORD-100111,2023-02-14,West,Mumbai,Apparel,Cotton T-Shirt,Online,Home Office,6,847.14,0.2,4066.27,2232.66,1833.61,No,CUST-1340
ORD-100112,2023-02-14,South,Hyderabad,Apparel,Denim Jeans,Online,Consumer,5,1216.54,0.0,6082.7,4684.28,1398.42,No,CUST-1002
ORD-100113,2023-02-14,North,Delhi,Sports,Running Shoes,Online,Corporate,1,1936.03,0.0,1936.03,1113.31,822.72,No,CUST-1833
ORD-100114,2023-02-14,North,Lucknow,Apparel,Denim Jeans,Retail Store,Consumer,7,974.77,0.0,6823.39,3612.95,3210.44,No,CUST-1666
ORD-100115,2023-02-15,East,Guwahati,Beauty,Face Wash,Online,Corporate,7,513.55,0.0,3594.85,2096.29,-1430.4,Yes,CUST-1650
ORD-100116,2023-02-15,South,Hyderabad,Beauty,Face Wash,Partner,Corporate,8,652.15,0.0,5217.2,2866.55,2350.65,No,CUST-1493
ORD-100117,2023-02-16,North,Lucknow,Home & Kitchen,Cookware Set,Online,Consumer,8,2903.17,0.0,23225.36,15616.25,7609.11,No,CUST-1684
ORD-100118,2023-02-16,East,Bhubaneswar,Sports,Running Shoes,Online,Corporate,3,747.76,0.25,1682.46,1109.37,573.09,No,CUST-1119
ORD-100119,2023-02-16,West,Mumbai,Apparel,Cotton T-Shirt,Online,Corporate,6,1712.58,0.1,9247.93,4245.01,5002.92,No,CUST-1210
ORD-100120,2023-02-16,South,Bengaluru,Apparel,Wool Sweater,Retail Store,Consumer,4,1324.76,0.0,5299.04,3278.71,-545.61,Yes,CUST-1489
ORD-100121,2023-02-17,South,Bengaluru,Electronics,4K Monitor,Retail Store,Corporate,5,4107.07,0.05,19508.58,9011.91,10496.67,No,CUST-1661
ORD-100122,2023-02-17,North,Lucknow,Electronics,Bluetooth Speaker,Online,Consumer,3,3449.4,0.2,8278.56,5575.86,2702.7,No,CUST-1529
ORD-100123,2023-02-17,East,Patna,Beauty,Face Wash,Online,Consumer,6,351.41,0.2,1686.77,1279.95,406.82,No,CUST-1365
ORD-100124,2023-02-18,North,Jaipur,Apparel,Wool Sweater,Retail Store,Home Office,8,1364.14,0.0,10913.12,8179.07,2734.05,No,CUST-1604
ORD-100125,2023-02-18,West,Surat,Apparel,Rain Jacket,Online,Consumer,6,1040.36,0.0,6242.16,3232.72,3009.44,No,CUST-1053
ORD-100126,2023-02-18,South,Bengaluru,Electronics,Smart Watch,Retail Store,Consumer,8,3991.66,0.3,22353.3,15537.17,6816.13,No,CUST-1457
ORD-100127,2023-02-19,South,Hyderabad,Apparel,Cotton T-Shirt,Retail Store,Consumer,8,1131.4,0.15,7693.52,5475.57,2217.95,No,CUST-1355
ORD-100128,2023-02-19,North,Jaipur,Home & Kitchen,Espresso Machine,Online,Home Office,1,2770.38,0.3,1939.27,1425.83,513.44,No,CUST-1448
ORD-100129,2023-02-20,North,Delhi,Electronics,Bluetooth Speaker,Retail Store,Consumer,8,2959.19,0.0,23673.52,12681.14,-10565.08,Yes,CUST-1118
ORD-100130,2023-02-20,East,Guwahati,Beauty,Vitamin C Serum,Retail Store,Consumer,7,707.8,0.0,4954.6,2966.69,1987.91,No,CUST-1813
ORD-100131,2023-02-20,South,,Home & Kitchen,Chef Knife,Online,Corporate,4,1945.56,0.05,7393.13,3867.32,3525.81,No,CUST-1768
ORD-100132,2023-02-21,South,Chennai,Beauty,Face Wash,Online,Corporate,5,888.9,0.0,4444.5,2035.68,2408.82,No,CUST-1848
ORD-100133,2023-02-22,West,Mumbai,Electronics,Smart Watch,Online,Consumer,5,5328.6,,21314.4,14226.81,7087.59,No,CUST-1756
ORD-100134,2023-02-22,West,Pune,Home & Kitchen,Air Fryer,Retail Store,Home Office,7,3582.88,0.2,20064.13,11885.65,-5188.58,Yes,CUST-1597
ORD-100135,2023-02-22,West,Mumbai,Electronics,Power Bank,Online,Consumer,7,4574.58,0.0,32022.06,17031.85,14990.21,No,CUST-1258
ORD-100136,2023-02-22,North,Lucknow,Apparel,Denim Jeans,Online,Corporate,1,1168.84,0.15,993.51,724.81,268.7,No,CUST-1102
ORD-100137,2023-02-23,South,Chennai,Home & Kitchen,Espresso Machine,Online,Consumer,1,3314.76,0.05,3149.02,1932.16,1216.86,No,CUST-1550
ORD-100138,2023-02-24,West,Mumbai,Home & Kitchen,Cookware Set,Online,Consumer,2,2582.56,0.15,4390.35,3416.73,973.62,No,CUST-1851
ORD-100139,2023-02-24,South,Hyderabad,Electronics,Smart Watch,Online,Home Office,5,2353.41,0.05,11178.7,7957.09,3221.61,No,CUST-1327
ORD-100140,2023-02-25,North,Lucknow,Beauty,Sunscreen SPF50,Online,Consumer,7,793.14,0.1,4996.78,3681.83,1314.95,No,CUST-1893
ORD-100141,2023-02-25,East,Guwahati,Electronics,4K Monitor,Online,Consumer,6,4465.27,0.2,21433.3,15114.76,6318.54,No,CUST-1138
ORD-100142,2023-02-25,South,Kochi,Home & Kitchen,Cookware Set,Online,Consumer,2,2622.52,0.0,5245.04,2543.61,2701.43,No,CUST-1254
ORD-100143,2023-02-25,South,Hyderabad,Sports,Cricket Bat,Retail Store,Consumer,6,1182.52,0.0,7095.12,3345.06,3750.06,No,CUST-1584
ORD-100144,2023-02-26,West,Ahmedabad,Apparel,Denim Jeans,Retail Store,Home Office,4,1039.25,0.2,3325.6,2500.77,824.83,No,CUST-1443
ORD-100145,2023-02-26,East,Guwahati,Beauty,Vitamin C Serum,Online,Consumer,3,357.62,0.3,751.0,372.2,-294.88,Yes,CUST-1684
ORD-100146,2023-02-28,South,Bengaluru,Home & Kitchen,Espresso Machine,Retail Store,Home Office,7,3192.61,0.05,21230.86,12294.89,8935.97,No,CUST-1310
ORD-100147,2023-02-28,South,Chennai,Beauty,Vitamin C Serum,Online,Consumer,3,386.39,0.3,811.42,528.45,-317.08,Yes,CUST-1697
ORD-100148,2023-03-01,South,Kochi,Home & Kitchen,Espresso Machine,Online,Home Office,5,3407.4,0.0,17037.0,8857.99,8179.01,No,CUST-1270
ORD-100149,2023-03-01,North,Lucknow,Home & Kitchen,Cookware Set,Partner,Corporate,2,2610.81,0.25,3916.22,2053.45,1862.77,No,CUST-1134
ORD-100150,2023-03-01,East,Patna,Electronics,Smart Watch,Online,Consumer,4,2980.79,0.3,8346.21,5039.94,3306.27,No,CUST-1511
ORD-100151,2023-03-02,West,Surat,Beauty,Face Wash,Online,Consumer,5,762.2,0.0,3811.0,2168.82,1642.18,No,CUST-1461
ORD-100152,2023-03-02,North,Jaipur,Electronics,Wireless Earbuds,Online,Corporate,5,4027.13,0.0,20135.65,13556.73,6578.92,No,CUST-1510
ORD-100153,2023-03-03,North,Jaipur,Sports,Running Shoes,Retail Store,Consumer,8,2329.27,,15839.04,7519.98,8319.06,No,CUST-1021
ORD-100154,2023-03-03,West,Surat,Electronics,Smart Watch,Online,Consumer,3,3135.62,0.25,7055.14,4312.74,2742.4,No,CUST-1370
ORD-100155,2023-03-03,North,Chandigarh,Electronics,Power Bank,Partner,Corporate,8,3624.57,0.0,28996.56,14715.92,14280.64,No,CUST-1081
ORD-100156,2023-03-03,South,Chennai,Beauty,Hair Oil,Online,Home Office,7,344.18,0.15,2047.87,1331.56,-350.2,Yes,CUST-1724
ORD-100157,2023-03-03,South,Chennai,Electronics,Power Bank,Online,Corporate,3,2260.16,0.25,5085.36,2483.44,-1556.92,Yes,CUST-1072
ORD-100158,2023-03-05,East,Patna,Apparel,Denim Jeans,Online,Home Office,2,2024.59,0.0,4049.18,2086.21,1962.97,No,CUST-1838
ORD-100159,2023-03-06,North,Delhi,Home & Kitchen,Cookware Set,Retail Store,Consumer,3,4685.75,0.1,12651.52,9049.42,3602.1,No,CUST-1051
ORD-100160,2023-03-07,East,Kolkata,Electronics,Wireless Earbuds,Online,Corporate,6,4442.82,0.0,26656.92,14064.33,12592.59,No,CUST-1549
ORD-100161,2023-03-07,South,Hyderabad,Electronics,Power Bank,Partner,Consumer,7,3565.66,0.0,24959.62,17302.8,7656.82,No,CUST-1300
ORD-100162,2023-03-07,East,Kolkata,Apparel,Cotton T-Shirt,Partner,Corporate,5,1356.64,0.1,6104.88,3297.31,2807.57,No,CUST-1099
ORD-100163,2023-03-08,North,Delhi,Electronics,Wireless Earbuds,Online,Corporate,6,5194.22,0.0,31165.32,16441.55,14723.77,No,CUST-1321
ORD-100164,2023-03-08,South,Kochi,Electronics,Power Bank,Online,Consumer,1,3864.69,0.0,3864.69,2120.64,1744.05,No,CUST-1035
ORD-100165,2023-03-09,South,Chennai,Electronics,Wireless Earbuds,Online,Home Office,5,4586.69,0.25,17200.09,12740.24,4459.85,No,CUST-1628
ORD-100166,2023-03-09,North,Chandigarh,Apparel,Wool Sweater,Retail Store,Consumer,7,1449.18,0.0,10144.26,5894.47,4249.79,No,CUST-1783
ORD-100167,2023-03-09,North,Jaipur,Apparel,Cotton T-Shirt,Retail Store,Consumer,4,1271.68,0.25,3815.04,2023.65,-1794.87,Yes,CUST-1296
ORD-100168,2023-03-11,North,Delhi,Electronics,Wireless Earbuds,Online,Consumer,8,3856.78,0.0,30854.24,19348.42,11505.82,No,CUST-1395
ORD-100169,2023-03-11,South,Bengaluru,Home & Kitchen,Espresso Machine,Partner,Consumer,1,3427.85,0.1,3085.06,1780.89,1304.17,No,CUST-1126
ORD-100170,2023-03-12,North,Lucknow,Home & Kitchen,Chef Knife,Online,Consumer,8,2528.58,0.2,16182.91,11502.25,4680.66,No,CUST-1433
ORD-100171,2023-03-13,West,Mumbai,Electronics,4K Monitor,Retail Store,Home Office,7,4798.34,0.1,30229.54,23483.73,6745.81,No,CUST-1852
ORD-100172,2023-03-14,South,Hyderabad,Apparel,Denim Jeans,Retail Store,Consumer,6,1304.21,0.05,7434.0,4637.1,2796.9,No,CUST-1484
ORD-100173,2023-03-14,East,Guwahati,Beauty,Face Wash,Online,Corporate,5,748.14,0.2,2992.56,1792.77,1199.79,No,CUST-1787
ORD-100174,2023-03-14,West,Pune,Home & Kitchen,Espresso Machine,Online,Consumer,8,4205.11,0.0,33640.88,18946.6,14694.28,No,CUST-1702
