ticket_id,created_at,category,priority,channel,agent,first_response_mins,resolution_hours,csat,reopened,summary
TKT-5065,2024-06-26 13:00,shipping,high,portal,Vikram,1.04,5.55,5.0,No,Unable to apply coupon code
TKT-5632,2024-08-24 11:00,billing,low,email,Sara,0.39,6.65,4.0,No,Wants dark mode in the mobile app
TKT-5968,2025-05-16 15:00,Billing,low,email,Vikram,0.95,6.32,4.0,No,Wants dark mode in the mobile app
TKT-6591,2024-07-07 19:00,Bug,medium,portal,Rahul,0.7,6.32,4.0,No,Wants dark mode in the mobile app
TKT-6201,2024-09-17 05:00,Login Issue,low,email,Vikram,3.73,14.81,5.0,No,Invoice shows wrong GST number
TKT-5942,2025-05-12 23:00,billing,low,chat,Imran,1.67,5.38,4.0,No,Unable to apply coupon code
TKT-5080,2025-05-27 11:00,Login Issue,medium,chat,Sara,1.4,10.58,4.0,No,Request to merge duplicate accounts
TKT-5860,2025-06-11 16:00,Billing,low,chat,Rahul,2.15,20.77,4.0,Yes,Unable to apply coupon code
TKT-5473,2024-09-11 17:00,Feature Request,low,email,Ananya,1.05,7.76,4.0,No,Customer cannot reset password
TKT-5022,2024-04-09 11:00,login issue,high,email,Vikram,0.39,3.78,4.0,No,Unable to apply coupon code
TKT-5607,2024-10-07 06:00,billing,low,email,Rahul,2.34,15.84,5.0,No,Wants dark mode in the mobile app
TKT-6203,2025-02-18 23:00,bug,low,chat,Rahul,3.76,12.36,4.0,No,Delivery delayed by courier
TKT-5082,2024-03-28 13:00,Shipping,low,phone,Ananya,1.88,8.34,5.0,Yes,Delivery delayed by courier
TKT-5171,2024-02-19 01:00,billing,medium,phone,Sara,1.46,4.09,5.0,No,Customer cannot reset password
TKT-6466,2024-12-12 09:00,Bug,medium,portal,Vikram,0.63,2.21,4.0,No,Invoice shows wrong GST number
TKT-5751,2024-03-21 13:00,Login Issue,medium,chat,Imran,1.71,5.7,4.0,No,Unable to apply coupon code
TKT-6393,2025-02-08 13:00,billing,low,chat,Meera,4.25,15.06,,No,Wants dark mode in the mobile app
TKT-5127,2025-02-20 22:00,shipping,high,chat,Rahul,0.78,2.74,3.0,No,App crashes on checkout
TKT-5557,2025-04-21 21:00,Login Issue,low,phone,Ananya,5.89,16.35,4.0,No,Unable to apply coupon code
TKT-5724,2025-03-04 08:00,bug,low,email,Meera,1.09,12.67,4.0,No,Customer cannot reset password
TKT-5880,2024-02-16 21:00,bug,medium,email,Vikram,1.19,4.5,3.0,No,Refund not received after 14 days
TKT-6016,2024-07-28 05:00,Bug,medium,chat,Rahul,3.6,14.8,3.0,No,Unable to apply coupon code
TKT-5730,2025-02-01 04:00,login issue,medium,email,Meera,1.71,5.96,5.0,No,Request to merge duplicate accounts
TKT-5660,2024-04-06 07:00,Bug,medium,phone,Sara,0.79,2.15,4.0,No,Customer cannot reset password
TKT-5460,2025-01-29 05:00,billing,medium,chat,Vikram,0.09,1.14,4.0,No,Unable to apply coupon code
TKT-5088,2025-02-22 11:00,Billing,low,email,Sara,1.97,15.52,5.0,No,Wants dark mode in the mobile app
TKT-5447,2025-06-04 19:00,Billing,low,chat,Ananya,3.5,10.01,4.0,No,Request to merge duplicate accounts
TKT-5786,2024-01-18 15:00,login issue,high,email,Rahul,0.88,4.31,5.0,No,Request to merge duplicate accounts
TKT-6458,2024-05-23 19:00,billing,high,email,Meera,1.34,3.69,4.0,No,Invoice shows wrong GST number
TKT-6347,2025-01-16 23:00,Shipping,high,phone,Vikram,0.36,4.49,3.0,No,Wants dark mode in the mobile app
TKT-5325,2024-05-05 11:00,feature request,high,chat,Ananya,1.01,4.69,4.0,Yes,Refund not received after 14 days
TKT-5870,2024-09-05 15:00,login issue,urgent,chat,Rahul,0.2,1.58,5.0,No,Delivery delayed by courier
TKT-5246,2025-02-16 19:00,Billing,high,portal,Imran,0.43,4.54,4.0,No,Delivery delayed by courier
TKT-5278,2024-02-05 09:00,bug,high,email,Vikram,0.52,2.52,4.0,No,App crashes on checkout
TKT-5687,2024-11-19 13:00,Login Issue,medium,chat,Imran,1.58,4.4,3.0,No,App crashes on checkout
TKT-5936,2024-03-27 01:00,shipping,medium,chat,Ananya,1.27,5.38,,No,App crashes on checkout
TKT-5112,2024-10-29 19:00,shipping,low,portal,Imran,3.25,35.75,3.0,No,Customer cannot reset password
TKT-6555,2024-03-29 16:00,Bug,medium,portal,Vikram,4.69,14.78,4.0,No,Wants dark mode in the mobile app
TKT-5851,2025-03-12 19:00,login issue,medium,phone,Rahul,1.5,5.98,4.0,No,Invoice shows wrong GST number
TKT-6465,2024-03-01 19:00,Billing,low,portal,Sara,0.45,6.23,4.0,No,Refund not received after 14 days
TKT-5711,2024-10-11 20:00,Billing,low,email,Sara,8.14,20.61,4.0,No,App crashes on checkout
TKT-5906,2024-08-12 07:00,billing,low,portal,Imran,5.99,23.38,3.0,Yes,Refund not received after 14 days
TKT-6353,2025-05-13 20:00,Bug,high,phone,Vikram,0.16,1.31,5.0,No,Wants dark mode in the mobile app
TKT-5324,2025-06-15 11:00,Login Issue,low,email,Meera,2.9,7.43,,No,Request to merge duplicate accounts
TKT-5457,2024-12-11 12:00,Bug,medium,chat,Meera,3.62,10.18,4.0,No,App crashes on checkout
TKT-5425,2024-04-18 21:00,shipping,high,chat,Sara,2.21,6.53,5.0,No,Invoice shows wrong GST number
TKT-6368,2025-06-08 21:00,login issue,medium,portal,Meera,1.15,3.99,3.0,No,Delivery delayed by courier
TKT-5107,2024-12-28 08:00,billing,urgent,phone,Sara,0.28,2.22,4.0,No,Refund not received after 14 days
TKT-6177,2024-04-14 10:00,Shipping,low,email,Meera,2.08,11.02,3.0,No,Customer cannot reset password
TKT-6398,2024-01-14 15:00,login issue,medium,phone,Sara,0.37,4.88,5.0,No,Refund not received after 14 days
TKT-5309,2024-02-29 04:00,Billing,medium,chat,Ananya,0.79,4.91,4.0,No,Wants dark mode in the mobile app
TKT-5700,2024-10-10 16:00,bug,urgent,portal,Ananya,0.1,0.71,3.0,No,App crashes on checkout
TKT-5239,2024-12-07 21:00,Billing,low,phone,Ananya,4.8,16.77,4.0,No,Refund not received after 14 days
TKT-6402,2024-06-12 08:00,shipping,low,chat,Meera,3.82,12.05,5.0,No,Invoice shows wrong GST number
TKT-6292,2024-08-29 20:00,Feature Request,low,portal,Ananya,1.49,11.56,5.0,No,Request to merge duplicate accounts
TKT-5719,2024-11-22 18:00,Billing,low,email,Vikram,0.68,2.92,,No,Invoice shows wrong GST number
TKT-5217,2024-02-22 12:00,shipping,high,email,Ananya,0.91,6.41,4.0,No,App crashes on checkout
TKT-5821,2024-12-28 19:00,feature request,high,email,Meera,2.01,5.8,4.0,No,App crashes on checkout
TKT-6551,2025-04-10 02:00,shipping,urgent,email,Vikram,0.23,0.79,5.0,No,Refund not received after 14 days
TKT-6371,2024-07-06 02:00,login issue,urgent,portal,Rahul,0.8,2.87,4.0,No,Customer cannot reset password
TKT-5783,2024-03-07 10:00,login issue,low,chat,Vikram,1.22,4.5,,No,Customer cannot reset password
TKT-5673,2024-02-21 19:00,Login Issue,high,email,Ananya,0.68,2.5,4.0,No,Customer cannot reset password
TKT-6222,2025-06-08 00:00,billing,medium,email,Meera,0.28,4.78,,No,Invoice shows wrong GST number
TKT-6171,2024-12-09 19:00,Shipping,low,chat,Meera,5.0,16.54,3.0,No,Customer cannot reset password
TKT-5573,2024-01-27 20:00,Bug,urgent,chat,Meera,0.51,2.18,4.0,No,Request to merge duplicate accounts
TKT-6337,2024-06-10 12:00,Bug,high,phone,Meera,0.82,2.22,5.0,No,App crashes on checkout
TKT-6212,2024-09-08 02:00,Billing,medium,portal,Rahul,1.15,5.1,4.0,No,Refund not received after 14 days
TKT-5201,2025-05-10 04:00,Login Issue,medium,portal,Vikram,0.65,3.89,4.0,No,Wants dark mode in the mobile app
TKT-5470,2025-02-06 09:00,Shipping,medium,portal,Imran,0.18,2.17,5.0,No,Delivery delayed by courier
TKT-6410,2024-02-03 01:00,Shipping,medium,email,Ananya,1.04,5.46,3.0,No,Invoice shows wrong GST number
TKT-5070,2025-03-09 15:00,bug,medium,chat,Vikram,0.49,4.44,5.0,No,Delivery delayed by courier
TKT-6226,2024-02-28 10:00,Bug,high,email,Ananya,0.43,3.88,3.0,Yes,Refund not received after 14 days
TKT-6234,2024-12-13 04:00,billing,medium,phone,Rahul,0.3,3.99,4.0,No,Request to merge duplicate accounts
TKT-5117,2024-03-17 04:00,Billing,low,portal,Imran,0.29,4.21,4.0,No,App crashes on checkout
TKT-5867,2025-04-01 16:00,BILLING,high,email,Vikram,0.74,3.49,5.0,No,Refund not received after 14 days
TKT-5499,2024-08-20 02:00,login issue,medium,portal,Ananya,0.52,7.61,3.0,No,Delivery delayed by courier
TKT-5053,2024-09-11 08:00,shipping,high,chat,Rahul,1.32,4.84,4.0,No,Refund not received after 14 days
TKT-5461,2024-03-17 11:00,Login Issue,medium,chat,Rahul,0.93,4.84,4.0,No,App crashes on checkout
TKT-5755,2024-08-26 15:00,Bug,low,chat,Meera,2.9,8.69,4.0,No,Wants dark mode in the mobile app
TKT-5716,2024-10-09 03:00,billing,low,chat,Meera,1.79,12.26,4.0,No,Wants dark mode in the mobile app
TKT-5041,2025-02-17 03:00,Bug,low,phone,Sara,5.2,21.45,3.0,Yes,App crashes on checkout
TKT-6416,2024-12-12 00:00,billing,medium,email,Rahul,1.86,5.71,4.0,No,Unable to apply coupon code
TKT-5394,2025-01-27 08:00,shipping,high,chat,Meera,0.67,2.31,5.0,No,Delivery delayed by courier
TKT-5369,2025-02-24 17:00,billing,urgent,chat,Sara,0.22,1.46,5.0,Yes,Wants dark mode in the mobile app
TKT-5413,2024-03-12 20:00,login issue,low,email,Vikram,0.98,16.29,5.0,No,Delivery delayed by courier
TKT-6580,2024-06-10 13:00,shipping,low,phone,Rahul,1.25,8.71,5.0,Yes,Request to merge duplicate accounts
TKT-6090,2024-10-01 01:00,BILLING,medium,chat,Meera,1.38,3.8,5.0,No,Request to merge duplicate accounts
TKT-5214,2025-02-05 14:00,login issue,low,chat,Meera,2.42,9.21,,No,Unable to apply coupon code
TKT-6077,2024-03-31 10:00,login issue,high,email,Imran,1.68,6.95,4.0,Yes,Unable to apply coupon code
TKT-6474,2025-06-16 13:00,shipping,urgent,phone,Sara,1.61,6.64,4.0,No,Refund not received after 14 days
TKT-5175,2024-09-08 17:00,Feature Request,medium,chat,Ananya,0.18,3.44,4.0,No,Unable to apply coupon code
TKT-6530,2024-02-18 22:00,Feature Request,medium,chat,Meera,3.01,10.08,5.0,No,Refund not received after 14 days
TKT-6009,2024-10-10 13:00,billing,low,chat,Ananya,4.21,12.12,4.0,No,Delivery delayed by courier
TKT-5678,2024-10-12 03:00,Login Issue,medium,email,Vikram,0.61,5.3,3.0,No,Invoice shows wrong GST number
TKT-5237,2024-08-23 11:00,Login Issue,low,portal,Meera,1.64,9.37,3.0,No,Delivery delayed by courier
TKT-6159,2024-07-04 14:00,Feature Request,medium,email,Rahul,1.27,7.55,3.0,No,App crashes on checkout
TKT-5236,2024-12-27 11:00,login issue,medium,chat,Sara,0.88,3.38,5.0,No,Unable to apply coupon code
TKT-5725,2024-03-04 19:00,Billing,low,email,Ananya,0.45,4.41,5.0,Yes,App crashes on checkout
TKT-5913,2025-06-18 02:00,shipping,medium,portal,Vikram,1.12,4.46,5.0,Yes,Invoice shows wrong GST number
TKT-5411,2024-05-05 03:00,Bug,high,email,Vikram,0.31,2.04,4.0,No,Request to merge duplicate accounts
TKT-5130,2024-11-04 03:00,login issue,medium,phone,Rahul,1.72,6.46,4.0,No,Invoice shows wrong GST number
TKT-5871,2024-04-19 23:00,Feature Request,medium,email,Vikram,1.08,14.87,3.0,No,Request to merge duplicate accounts
TKT-5539,2024-01-12 12:00,login issue,low,chat,Meera,1.83,5.77,4.0,No,Wants dark mode in the mobile app
TKT-6023,2025-04-03 21:00,Feature Request,medium,chat,Meera,0.21,1.22,4.0,No,Customer cannot reset password
TKT-6547,2025-04-07 22:00,Bug,low,chat,Sara,1.24,5.01,5.0,No,Invoice shows wrong GST number
TKT-5293,2024-06-29 16:00,login issue,urgent,chat,Sara,0.4,1.13,4.0,No,Delivery delayed by courier
TKT-6261,2025-05-18 23:00,login issue,high,chat,Imran,1.48,5.21,3.0,No,Customer cannot reset password
TKT-5923,2024-03-20 02:00,feature request,high,portal,Ananya,0.79,4.87,5.0,No,Wants dark mode in the mobile app
TKT-5476,2025-04-06 14:00,Billing,low,chat,Vikram,0.72,3.36,2.0,No,Request to merge duplicate accounts
TKT-5950,2024-02-20 21:00,bug,low,email,Sara,4.33,12.93,4.0,No,Customer cannot reset password
TKT-5398,2024-06-01 21:00,login issue,medium,email,Sara,1.78,5.53,5.0,No,App crashes on checkout
TKT-6158,2024-07-28 09:00,shipping,medium,chat,Rahul,0.83,2.47,4.0,No,Customer cannot reset password
TKT-6179,2024-01-14 12:00,Billing,low,chat,Vikram,1.34,11.83,3.0,No,App crashes on checkout
TKT-6143,2025-04-05 05:00,Billing,low,portal,Ananya,3.49,8.85,5.0,No,Customer cannot reset password
TKT-5123,2024-09-13 17:00,feature request,medium,chat,Sara,2.4,14.54,4.0,No,Request to merge duplicate accounts
TKT-6198,2025-03-13 12:00,shipping,urgent,phone,Meera,0.17,1.57,3.0,No,Refund not received after 14 days
TKT-6330,2024-09-02 04:00,Billing,urgent,portal,Rahul,0.34,1.1,5.0,No,Invoice shows wrong GST number
TKT-6345,2025-06-27 16:00,shipping,high,email,Sara,0.52,4.11,5.0,No,Delivery delayed by courier
TKT-6444,2024-03-17 02:00,login issue,urgent,portal,Imran,0.2,1.16,4.0,No,Invoice shows wrong GST number
TKT-5595,2025-03-13 02:00,Billing,medium,portal,Rahul,1.36,5.21,5.0,No,Request to merge duplicate accounts
TKT-5731,2024-08-16 03:00,Billing,high,portal,Imran,1.19,4.15,3.0,No,App crashes on checkout
TKT-5538,2024-10-21 10:00,shipping,low,email,Ananya,2.16,6.44,4.0,No,App crashes on checkout
TKT-5736,2025-02-02 03:00,Bug,high,phone,Meera,0.3,1.21,3.0,No,Invoice shows wrong GST number
TKT-5998,2025-06-08 03:00,feature request,medium,chat,Ananya,0.6,2.68,4.0,No,Delivery delayed by courier
TKT-5764,2024-07-15 15:00,Bug,medium,chat,Sara,2.27,8.33,4.0,Yes,Unable to apply coupon code
TKT-6017,2024-09-26 07:00,Login Issue,high,chat,Sara,0.92,2.7,4.0,No,Delivery delayed by courier
TKT-6141,2024-07-03 11:00,Login Issue,medium,chat,Rahul,6.05,19.97,4.0,No,Invoice shows wrong GST number
TKT-5613,2024-07-28 20:00,Shipping,medium,chat,Meera,4.78,16.11,4.0,No,Refund not received after 14 days
TKT-6289,2024-12-04 22:00,Login Issue,medium,chat,Vikram,2.07,9.99,,Yes,Unable to apply coupon code
TKT-6174,2024-01-05 15:00,Billing,low,email,Meera,0.28,4.42,4.0,No,Unable to apply coupon code
TKT-5918,2024-05-18 16:00,bug,low,portal,Ananya,4.37,12.04,5.0,No,Customer cannot reset password
TKT-6386,2024-11-01 10:00,Bug,urgent,email,Meera,0.52,2.1,5.0,No,Request to merge duplicate accounts
TKT-6046,2024-05-10 11:00,login issue,medium,email,Ananya,2.24,12.81,,Yes,Refund not received after 14 days
TKT-5806,2024-10-23 23:00,Shipping,low,chat,Imran,0.42,7.1,4.0,No,Customer cannot reset password
TKT-6482,2024-06-07 01:00,login issue,high,chat,Sara,0.8,3.6,4.0,No,Refund not received after 14 days
TKT-6528,2024-01-12 04:00,Feature Request,low,portal,Sara,2.89,10.3,4.0,No,App crashes on checkout
TKT-5349,2024-03-30 17:00,shipping,low,portal,Vikram,1.35,4.21,3.0,Yes,Invoice shows wrong GST number
TKT-5255,2024-03-19 18:00,bug,urgent,email,Sara,0.09,1.46,3.0,No,Invoice shows wrong GST number
TKT-5772,2024-01-03 15:00,feature request,high,email,Imran,0.21,1.81,4.0,No,Refund not received after 14 days
TKT-6119,2024-09-25 20:00,Shipping,high,chat,Meera,1.23,4.55,4.0,Yes,Wants dark mode in the mobile app
TKT-5021,2024-07-21 02:00,Feature Request,low,email,Rahul,1.33,7.12,4.0,No,Delivery delayed by courier
TKT-5983,2024-12-19 03:00,Billing,medium,email,Ananya,1.71,6.34,5.0,No,Request to merge duplicate accounts
TKT-5061,2025-02-09 21:00,bug,medium,phone,Ananya,3.14,9.67,3.0,No,Refund not received after 14 days
TKT-5802,2024-10-07 23:00,bug,high,email,Ananya,1.35,3.48,3.0,No,Delivery delayed by courier
TKT-6111,2024-05-06 21:00,Billing,high,chat,Sara,1.83,4.99,3.0,No,Request to merge duplicate accounts
TKT-5220,2024-03-10 12:00,shipping,high,email,Vikram,0.18,0.97,4.0,No,Wants dark mode in the mobile app
TKT-5801,2024-06-13 13:00,Billing,urgent,email,Ananya,0.4,1.23,4.0,No,Invoice shows wrong GST number
TKT-5561,2024-01-24 16:00,login issue,urgent,email,Meera,1.1,4.07,3.0,No,Request to merge duplicate accounts
TKT-5402,2024-06-23 15:00,Bug,low,email,Meera,1.33,4.06,4.0,No,Unable to apply coupon code
TKT-5647,2024-10-18 19:00,feature request,medium,email,Imran,1.63,6.73,2.0,No,Customer cannot reset password
TKT-5135,2024-06-14 15:00,Billing,medium,email,Imran,1.16,6.47,5.0,No,Unable to apply coupon code
TKT-6413,2025-03-07 15:00,Login Issue,low,email,Vikram,1.8,13.59,4.0,No,Refund not received after 14 days
TKT-6112,2024-04-14 22:00,shipping,urgent,phone,Rahul,0.41,3.14,5.0,No,Customer cannot reset password
TKT-5549,2025-01-05 23:00,billing,high,email,Vikram,0.43,2.57,4.0,No,Invoice shows wrong GST number
TKT-5563,2024-04-08 21:00,billing,medium,portal,Meera,2.16,8.89,4.0,No,App crashes on checkout
TKT-6561,2024-05-18 13:00,billing,low,chat,Meera,2.45,8.46,4.0,No,Delivery delayed by courier
TKT-5169,2024-01-13 09:00,Billing,urgent,chat,Vikram,1.5,3.85,3.0,No,Request to merge duplicate accounts
TKT-5707,2024-11-07 23:00,Login Issue,medium,chat,,1.79,5.11,4.0,Yes,Refund not received after 14 days
TKT-6356,2024-07-06 12:00,billing,low,chat,Rahul,2.1,25.92,4.0,No,Invoice shows wrong GST number
TKT-6438,2024-06-22 19:00,login issue,high,portal,Sara,0.58,3.79,3.0,No,App crashes on checkout
TKT-5940,2025-01-11 12:00,BILLING,low,portal,Imran,0.39,4.93,4.0,No,Customer cannot reset password
TKT-5320,2024-06-23 18:00,bug,medium,portal,Meera,0.55,6.18,5.0,No,Wants dark mode in the mobile app
TKT-5356,2024-03-23 14:00,billing,high,portal,Meera,1.2,3.04,4.0,No,App crashes on checkout
TKT-5531,2024-03-31 05:00,Login Issue,low,email,Vikram,2.01,13.62,3.0,No,App crashes on checkout
TKT-5512,2025-04-03 06:00,Feature Request,medium,portal,Rahul,0.4,7.7,5.0,No,Unable to apply coupon code
TKT-6469,2024-02-02 23:00,shipping,medium,email,Vikram,1.96,7.72,4.0,No,Request to merge duplicate accounts
TKT-6588,2025-04-14 17:00,bug,urgent,chat,Ananya,0.13,1.67,3.0,No,Request to merge duplicate accounts
TKT-5722,2025-04-05 13:00,shipping,low,email,Sara,0.72,7.94,3.0,No,Customer cannot reset password
TKT-6189,2024-01-04 23:00,Billing,low,chat,Sara,1.78,12.46,4.0,No,Refund not received after 14 days
TKT-5329,2024-10-29 09:00,Shipping,high,portal,Ananya,0.14,1.09,4.0,No,App crashes on checkout
TKT-5360,2025-04-05 21:00,billing,medium,email,Ananya,1.33,4.73,5.0,No,Wants dark mode in the mobile app
TKT-5713,2025-02-20 08:00,bug,medium,portal,Ananya,2.22,10.86,4.0,No,Delivery delayed by courier
TKT-5433,2024-03-12 10:00,bug,high,chat,Ananya,2.33,7.85,,Yes,Delivery delayed by courier
TKT-6235,2024-07-07 20:00,Bug,low,chat,Ananya,2.51,10.01,5.0,No,Refund not received after 14 days
TKT-5888,2024-01-09 14:00,Feature Request,low,chat,Ananya,0.62,7.79,2.0,No,Delivery delayed by courier
TKT-6063,2025-01-19 10:00,feature request,low,email,Sara,0.85,15.91,4.0,No,Delivery delayed by courier
TKT-6251,2024-08-12 07:00,billing,low,email,Rahul,3.86,16.76,5.0,Yes,Unable to apply coupon code
TKT-5371,2024-12-26 14:00,bug,high,email,Ananya,0.18,1.67,4.0,No,Wants dark mode in the mobile app
