week_start,channel,campaign,spend,impressions,clicks,conversions,revenue,ctr_pct,cpc,roas
2024-06-10,Social,Social-2406,2775.49,4658,115,6,14462.78,2.48,24.03,5.21
2024-02-19,Email,Email-2402,936.7,3932,45,1,4071.3,1.145,20.81,4.35
2024-11-18,Email,Email-2411,2006.09,10099,103,4,10071.54,1.025,19.38,5.02
2025-06-16,Social,Social-2506,1285.49,1923,40,1,3669.54,2.087,32.01,2.85
2023-03-13,Display,Display-2303,1168.96,3675,49,2,3404.66,1.346,23.63,2.91
2023-05-15,Display,Display-2305,566.49,1468,18,0,969.71,1.227,31.44,1.71
2024-03-04,Email,Email-2403,2773.9,11870,135,5,14547.2,1.142,20.46,5.24
2025-01-13,Paid Search,Paid-2501,6927.26,8529,270,12,37292.03,3.174,25.59,5.38
2024-03-18,Social,Social-2403,1248.68,1705,39,1,3567.58,2.298,31.87,2.86
2023-01-30,Email,Email-2301,591.74,2864,30,1,3756.77,1.071,19.29,6.35
2024-01-15,Paid Search,Paid-2401,1626.55,1835,55,2,6676.18,3.0,29.53,4.1
2023-10-16,Affiliate,Affiliate-2310,1512.38,3295,63,2,8182.11,1.936,23.71,5.41
2025-05-12,Display,Display-2505,1350.36,3918,43,2,4050.77,1.112,31.0,3.0
2025-06-23,Email,Email-2506,2104.66,10386,80,4,12724.34,0.77,26.3,6.05
2025-05-19,Paid Search,Paid-2505,2560.61,2774,88,3,9770.03,3.195,28.88,3.82
2025-06-09,Display,Display-2506,1498.86,3849,49,2,3399.73,1.297,30.01,2.27
2024-11-25,Social,Social-2411,1344.79,2220,40,2,,1.802,33.61,3.75
2024-11-11,Paid Search,Paid-2411,1867.45,1868,60,3,9025.74,3.237,30.88,4.83
2025-04-21,Display,Display-2504,927.35,2375,37,1,1602.73,1.599,24.41,1.73
2024-09-16,Social,Social-2409,1973.97,2956,54,3,5978.7,1.844,36.22,3.03
2023-04-10,Affiliate,Affiliate-2304,1033.75,2252,49,1,6109.35,2.18,21.05,5.91
2024-01-29,Social,Social-2401,4617.87,7089,176,6,14697.99,2.485,26.21,3.18
2023-12-18,Email,Email-2312,1445.88,6345,60,2,6273.38,0.96,23.74,4.34
2024-07-01,Paid Search,Paid-2407,1345.7,1468,35,1,4658.44,2.444,37.49,3.46
2025-02-03,Email,Email-2502,1555.54,7002,61,2,6472.92,0.879,25.28,4.16
2023-05-15,Affiliate,Affiliate-2305,4429.41,9098,172,7,26529.07,1.895,25.69,5.99
2024-07-01,Email,Email-2407,2482.96,10016,89,2,8854.01,0.895,27.7,3.57
2025-02-17,Affiliate,Affiliate-2502,425.71,802,14,0,1762.02,1.745,30.4,4.14
2023-03-06,Social,Social-2303,5185.91,8362,190,7,,2.278,27.22,3.3
2024-01-29,Display,Display-2401,1217.96,3637,45,1,3138.52,1.253,26.72,2.58
2023-06-12,Paid Search,Paid-2306,2964.72,3007,74,3,10831.88,2.468,39.94,3.65
2024-04-22,Paid Search,Paid-2404,3535.91,3568,94,3,10678.74,2.656,37.31,3.02
2024-11-18,Paid Search,Paid-2411,2766.07,3076,73,2,8786.97,2.401,37.44,3.18
2023-09-04,Affiliate,Affiliate-2309,1253.25,2718,52,2,8181.0,1.946,23.69,6.53
2023-07-17,Paid Search,Paid-2307,1886.95,2334,69,3,9347.66,2.991,27.02,4.95
2024-12-09,Paid Search,Paid-2412,2943.31,3212,117,5,18814.62,3.65,25.1,6.39
2023-12-11,Display,Display-2312,1969.86,5689,68,3,6592.28,1.202,28.79,3.35
2023-11-20,Email,Email-2311,2818.22,11960,128,6,15515.88,1.072,21.98,5.51
2023-10-09,Paid Search,Paid-2310,5161.04,4977,172,8,26694.06,3.474,29.84,5.17
2023-09-25,Email,Email-2309,1476.88,7215,59,2,,0.83,24.66,5.18
2024-10-14,Social,Social-2410,1375.93,2041,36,1,2908.97,1.769,38.09,2.11
2023-07-03,Email,Email-2307,1941.55,10063,80,3,9135.66,0.803,24.03,4.71
2023-03-20,Paid Search,Paid-2303,4862.35,5538,142,6,23608.03,2.565,34.23,4.86
2024-07-29,Affiliate,Affiliate-2407,1337.87,2321,52,1,5163.14,2.251,25.61,3.86
2023-01-16,Display,Display-2301,1995.11,5176,75,3,4087.0,1.463,26.35,2.05
2024-07-08,Paid Search,Paid-2407,4434.93,4617,124,6,22020.45,2.692,35.67,4.97
2024-10-28,Affiliate,Affiliate-2410,2446.94,4128,80,3,8531.79,1.954,30.33,3.49
2023-03-27,Paid Search,Paid-2303,2731.34,3264,88,4,13726.73,2.722,30.74,5.03
2023-12-25,Affiliate,Affiliate-2312,2590.93,4859,112,5,14775.39,2.308,23.1,5.7
2023-05-29,Display,Display-2305,2885.05,7335,104,4,8587.3,1.426,27.58,2.98
2024-01-22,Display,Display-2401,2601.85,7457,99,4,6356.72,1.333,26.17,2.44
2025-06-23,Affiliate,Affiliate-2506,903.86,1906,31,1,4305.09,1.659,28.58,4.76
2024-12-02,Social,Social-2412,1186.75,2094,44,1,2531.69,2.138,26.5,2.13
2025-05-05,Affiliate,Affiliate-2505,1051.16,1797,35,1,3657.78,1.991,29.37,3.48
2025-03-31,Social,Social-2503,1510.37,2424,51,2,6844.82,2.133,29.2,4.53
2023-11-13,Display,Display-2311,4131.4,10545,163,8,12814.78,1.551,25.25,3.1
2025-06-02,Affiliate,Affiliate-2506,2010.33,3394,70,4,11426.64,2.083,28.43,5.68
2023-01-02,Display,Display-2301,1912.0,5751,68,3,3935.9,1.198,27.75,2.06
2024-04-01,Display,Display-2404,1400.42,3734,44,1,2570.01,1.19,31.52,1.84
2024-08-05,Display,Display-2408,693.61,1788,23,0,1606.44,1.334,29.06,2.32
2024-09-30,Display,Display-2409,4731.21,13816,165,8,12515.33,1.198,28.58,2.65
2025-05-26,Affiliate,Affiliate-2505,782.99,1662,37,1,,2.231,21.11,5.95
2024-06-24,Social,Social-2406,1700.17,2724,66,2,5646.2,2.443,25.55,3.32
2023-12-04,Email,Email-2312,2428.11,12513,110,5,15134.23,0.881,22.01,6.23
2023-11-06,Social,Social-2311,2690.23,4446,112,6,15190.4,2.521,24.0,5.65
2024-08-12,Email,Email-2408,2850.54,11613,134,6,,1.158,21.2,6.3
2023-03-13,Email,Email-2303,1092.53,5666,61,2,5960.94,1.086,17.75,5.46
2023-01-23,Email,Email-2301,1924.94,7720,72,2,6017.0,0.938,26.59,3.13
2023-05-22,Social,Social-2305,1729.46,2702,46,2,5067.04,1.714,37.34,2.93
2023-09-25,Display,Display-2309,861.84,2401,29,0,1364.94,1.21,29.66,1.58
2023-03-13,Paid Search,Paid-2303,3954.46,4349,149,8,26351.09,3.431,26.5,6.66
2023-07-24,Display,Display-2307,1143.39,3329,38,1,1989.04,1.159,29.64,1.74
2024-06-24,Paid Search,Paid-2406,4717.37,4570,162,5,19664.63,3.562,28.98,4.17
2024-03-11,Display,Display-2403,2600.11,7064,83,2,4948.65,1.175,31.33,1.9
2024-03-25,Social,Social-2403,2743.43,3820,84,2,6672.92,2.211,32.48,2.43
2025-05-12,Email,Email-2505,1219.51,6415,69,3,10540.46,1.087,17.48,8.64
2025-02-03,Social,Social-2502,3234.09,5336,138,6,14511.07,2.586,23.43,4.49
2023-02-13,Paid Search,Paid-2302,1274.57,1524,51,2,7674.49,3.366,24.84,6.02
2024-09-16,Email,Email-2409,2873.05,14126,159,5,12499.43,1.127,18.05,4.35
2023-11-27,Affiliate,Affiliate-2311,1899.74,3589,72,3,9895.3,2.018,26.22,5.21
2024-09-09,Email,Email-2409,1557.1,7654,79,3,9661.01,1.041,19.55,6.2
2023-06-12,Social,Social-2306,1319.31,2168,41,2,4563.8,1.899,32.04,3.46
2024-08-12,Affiliate,Affiliate-2408,1998.03,3250,64,2,6942.74,1.989,30.9,3.47
2025-05-05,Email,Email-2505,2899.79,13456,148,5,16538.22,1.101,19.57,5.7
2024-08-05,Email,Email-2408,1743.52,6996,60,1,5703.01,0.865,28.82,3.27
2023-03-13,Social,Social-2303,477.07,670,11,0,1229.61,1.763,40.38,2.58
2023-12-04,Affiliate,Affiliate-2312,774.99,1558,31,1,3530.01,2.002,24.83,4.55
2024-01-01,Social,Social-2401,1012.6,1651,30,1,3350.66,1.826,33.58,3.31
2024-03-18,Affiliate,Affiliate-2403,1207.3,2167,42,2,6487.86,1.976,28.19,5.37
2024-02-12,Social,Social-2402,3393.11,4595,96,5,10831.06,2.108,35.04,3.19
2024-08-26,Display,Display-2408,1854.07,4725,76,2,,1.619,24.24,2.19
2025-06-02,Paid Search,Paid-2506,1127.05,1152,32,1,3103.78,2.807,34.84,2.75
2023-12-11,Paid Search,Paid-2312,1859.19,1964,72,2,8104.36,3.676,25.74,4.36
2023-03-20,Display,Display-2303,2880.46,8344,94,5,6953.64,1.135,30.42,2.41
2023-11-27,Social,Social-2311,4399.78,7789,147,4,11270.31,1.895,29.81,2.56
2024-10-28,Email,Email-2410,1642.41,7969,71,2,,0.896,23.0,4.82
2024-11-25,Affiliate,Affiliate-2411,2903.91,6196,134,6,17105.71,2.166,21.64,5.89
2023-05-15,Email,Email-2305,1534.8,6489,58,3,8995.69,0.899,26.3,5.86
2024-12-16,Display,Display-2412,2842.86,8148,132,6,10411.26,1.621,21.52,3.66
2025-03-31,Email,Email-2503,3473.32,16067,157,4,12829.13,0.978,22.11,3.69
2025-01-20,Display,Display-2501,2519.23,6157,79,4,5638.85,1.292,31.67,2.24
2024-03-04,Paid Search,Paid-2403,3330.99,3106,106,5,19582.66,3.44,31.17,5.88
2023-01-30,Display,Display-2301,841.88,2369,30,1,2884.88,1.305,27.22,3.43
2024-07-08,Social,Social-2407,1582.37,2791,48,2,6407.35,1.751,32.37,4.05
2024-06-24,Email,Email-2406,1827.66,7468,69,3,8709.51,0.928,26.36,4.77
2024-11-25,Display,Display-2411,6243.19,18949,283,10,19305.06,1.494,22.05,3.09
2023-07-31,Affiliate,Affiliate-2307,873.89,1539,26,1,3673.37,1.74,32.61,4.2
2025-01-20,Social,Social-2501,2013.46,3533,85,3,8842.49,2.429,23.46,4.39
2023-11-13,Affiliate,Affiliate-2311,387.82,747,17,0,1477.94,2.37,21.88,3.81
2023-10-23,Display,Display-2310,1663.38,4610,70,3,4280.78,1.527,23.62,2.57
2023-11-27,Paid Search,Paid-2311,6575.51,6135,160,7,28418.68,2.619,40.93,4.32
2024-02-05,Affiliate,Affiliate-2402,1102.11,1767,35,1,5240.76,2.034,30.65,4.76
2023-01-02,Email,Email-2301,2123.17,8452,94,4,13363.68,1.114,22.55,6.29
2025-04-28,Affiliate,Affiliate-2504,1834.69,3574,56,1,4621.47,1.592,32.24,2.52
2025-05-26,Email,Email-2505,1751.24,6845,52,2,5872.61,0.761,33.62,3.35
2023-04-24,Email,Email-2304,1566.66,7520,62,2,6020.02,0.836,24.92,3.84
2024-11-11,Affiliate,Affiliate-2411,836.55,1765,31,1,5197.36,1.808,26.21,6.21
2025-04-14,Display,Display-2504,1683.01,4946,64,2,3722.35,1.297,26.24,2.21
2025-03-10,Affiliate,Affiliate-2503,3003.84,5018,115,5,14055.16,2.311,25.9,4.68
2025-01-13,Email,Email-2501,1169.82,5760,49,2,7005.25,0.867,23.42,5.99
2023-02-20,Display,Display-2302,567.89,1411,15,0,1223.1,1.112,36.18,2.15
2024-11-18,Display,Display-2411,1708.83,4805,63,2,4467.16,1.329,26.76,2.61
2023-12-25,Social,Social-2312,1427.61,1974,41,1,3244.11,2.102,34.39,2.27
2024-08-19,Affiliate,Affiliate-2408,1771.79,3595,69,3,9082.87,1.925,25.59,5.13
2023-01-16,Paid Search,Paid-2301,4901.98,4907,121,4,14256.1,2.479,40.3,2.91
2023-03-27,Display,Display-2303,2860.05,6808,99,3,5385.42,1.454,28.88,1.88
2023-02-13,Email,Email-2302,1710.56,6913,56,2,7456.31,0.82,30.17,4.36
2024-06-10,Display,Display-2406,1333.46,3566,43,1,3332.08,1.229,30.41,2.5
2024-06-17,Social,Social-2406,1031.15,1688,32,1,3367.31,1.95,31.32,3.27
2024-06-10,Affiliate,Affiliate-2406,1438.6,2685,54,2,6844.27,2.045,26.19,4.76
2024-04-15,Affiliate,Affiliate-2404,4824.58,7880,159,8,23802.99,2.026,30.21,4.93
2023-02-06,Paid Search,Paid-2302,3147.16,3858,131,7,27775.62,3.411,23.91,8.83
2024-10-28,Display,Display-2410,834.66,2449,36,1,1851.41,1.473,23.13,2.22
2024-05-20,Social,Social-2405,1846.26,2715,59,2,6097.84,2.179,31.2,3.3
2025-03-17,Paid Search,Paid-2503,1906.63,2224,81,4,13665.88,3.682,23.28,7.17
2024-02-26,Paid Search,Paid-2402,2529.68,2342,85,3,8971.14,3.652,29.57,3.55
2024-05-06,Social,Social-2405,3244.09,5210,105,3,6293.1,2.028,30.7,1.94
2024-11-18,Social,Social-2411,2562.14,3475,84,3,8689.75,2.428,30.36,3.39
2024-09-23,Email,Email-2409,1212.43,4816,38,1,5939.48,0.794,31.69,4.9
2024-01-15,Social,Social-2401,1659.24,2381,60,2,5317.7,2.534,27.49,3.2
2023-05-01,Affiliate,Affiliate-2305,407.63,811,17,0,3073.63,2.13,23.59,7.54
2023-04-03,Paid Search,Paid-2304,1588.57,1977,55,2,9205.5,2.807,28.62,5.79
2024-07-29,Social,Social-2407,6252.5,8693,226,8,18318.19,2.601,27.65,2.93
2024-06-03,Social,Social-2406,1978.3,3427,66,2,5742.3,1.936,29.81,2.9
2024-04-15,Social,Social-2404,2234.28,3417,74,3,6596.33,2.173,30.09,2.95
2024-12-30,Social,Social-2412,1742.69,2677,59,2,5426.66,2.224,29.27,3.11
2024-10-21,Social,Social-2410,3441.44,4807,84,3,5974.93,1.761,40.65,1.74
2024-02-05,Paid Search,Paid-2402,1313.1,1518,37,1,4153.59,2.464,35.1,3.16
2025-02-03,Display,Display-2502,3819.42,10360,156,5,7718.56,1.509,24.43,2.02
2023-09-18,Email,Email-2309,325.37,1635,14,0,2117.76,0.901,22.08,6.51
2024-06-24,Affiliate,Affiliate-2406,1616.05,3377,56,2,8451.71,1.67,28.66,5.23
2024-07-22,Display,Display-2407,559.24,1362,16,0,937.75,1.212,33.88,1.68
2023-02-27,Paid Search,Paid-2302,7543.06,8021,197,8,26959.75,2.466,38.12,3.57
2025-02-17,Email,Email-2502,2185.75,9187,103,4,12792.75,1.131,21.04,5.85
2024-01-29,Affiliate,Affiliate-2401,1513.95,3261,67,2,7624.32,2.076,22.36,5.04
2024-04-29,Social,Social-2404,1842.63,2883,69,4,7873.22,2.395,26.69,4.27
2023-08-28,Email,Email-2308,2099.56,10217,80,2,5812.42,0.788,26.07,2.77
2024-10-21,Email,Email-2410,2617.54,12464,139,5,17599.31,1.122,18.72,6.72
2023-12-04,Display,Display-2312,710.97,2133,27,1,2140.62,1.285,25.94,3.01
2025-03-03,Paid Search,Paid-2503,1709.45,1656,50,2,7090.25,3.066,33.67,4.15
2024-12-02,Display,Display-2412,1278.84,3965,48,1,2931.11,1.217,26.5,2.29
2024-12-16,Paid Search,Paid-2412,3114.66,3218,112,3,10137.4,3.488,27.75,3.25
2024-01-15,Display,Display-2401,2720.79,6456,83,4,5510.83,1.294,32.56,2.03
2023-03-20,Social,Social-2303,2860.2,4272,90,3,7841.07,2.113,31.68,2.74
2024-03-04,Social,Social-2403,1018.11,1581,27,1,2339.91,1.72,37.43,2.3
2023-04-10,Social,Social-2304,2174.07,3492,85,3,8052.22,2.436,25.56,3.7
2024-09-23,Affiliate,Affiliate-2409,964.4,1622,37,1,6755.55,2.317,25.66,7.0
2023-07-24,Paid Search,Paid-2307,5631.27,5963,188,9,31970.98,3.158,29.9,5.68
2023-05-08,Paid Search,Paid-2305,818.36,819,26,1,4032.33,3.24,30.83,4.93
2023-08-21,Social,Social-2308,2625.16,4143,84,3,5956.31,2.028,31.24,2.27
2024-07-01,Affiliate,Affiliate-2407,1668.06,3293,64,2,6345.96,1.96,25.85,3.8
2023-08-28,Paid Search,Paid-2308,2130.15,1981,48,2,7666.12,2.467,43.58,3.6
2023-03-13,Affiliate,Affiliate-2303,1331.0,2494,45,2,8744.5,1.842,28.97,6.57
2024-08-26,Paid Search,Paid-2408,3673.64,4140,120,6,18067.89,2.91,30.48,4.92
2024-04-08,Paid Search,Paid-2404,5468.86,5428,144,6,22405.02,2.667,37.77,4.1
2024-07-22,Affiliate,Affiliate-2407,782.29,1287,25,1,3087.51,1.99,30.53,3.95
2023-04-03,Social,Social-2304,1200.16,1920,39,1,3279.56,2.062,30.31,2.73
2024-09-23,Paid Search,Paid-2409,1364.97,1292,41,2,8604.89,3.216,32.83,6.3
2024-04-22,Display,Display-2404,3489.63,9738,109,6,8475.72,1.121,31.97,2.43
2025-02-24,Affiliate,Affiliate-2502,1133.36,2441,40,1,4884.33,1.644,28.23,4.31
2023-06-12,Email,Email-2306,1029.8,5012,53,2,7314.15,1.07,19.19,7.1
2024-09-23,Display,Display-2409,1496.29,3526,49,2,4113.29,1.416,29.96,2.75
2023-06-19,Paid Search,Paid-2306,6302.82,6262,190,9,36601.24,3.034,33.17,5.81
2025-06-09,Affiliate,Affiliate-2506,462.52,860,17,0,2005.31,2.048,26.25,4.34
2023-11-06,Paid Search,Paid-2311,2847.22,2852,97,5,18568.21,3.43,29.1,6.52
2023-05-01,Email,Email-2305,912.82,4849,46,2,7130.27,0.959,19.63,7.81
2023-10-23,Affiliate,Affiliate-2310,442.64,868,18,1,2920.86,2.159,23.62,6.6
2023-09-18,Display,Display-2309,1758.93,5285,73,3,5998.03,1.382,24.09,3.41
2025-04-28,Email,Email-2504,867.57,3426,31,1,4404.21,0.933,27.14,5.08
2023-08-28,Display,Display-2308,1124.29,3490,47,2,3728.06,1.365,23.59,3.32
2024-08-05,Affiliate,Affiliate-2408,1522.49,3120,51,2,8821.18,1.646,29.63,5.79
2024-12-30,Display,Display-2412,1093.25,2954,40,1,1913.27,1.376,26.9,1.75
2024-12-23,Affiliate,Affiliate-2412,604.86,1075,17,0,1718.12,1.591,35.34,2.84
2025-02-10,Display,Display-2502,2124.81,5907,82,4,7631.58,1.398,25.73,3.59
2024-11-04,Email,Email-2411,1400.84,6945,80,2,5982.58,1.156,17.44,4.27
2023-06-12,Display,Display-2306,1071.57,2511,39,1,2667.5,1.564,27.28,2.49
2023-06-12,Affiliate,Affiliate-2306,996.25,1986,32,1,,1.648,30.43,5.12
2024-05-13,Display,Display-2405,1410.83,3742,54,3,4245.56,1.46,25.82,3.01
2025-05-19,Affiliate,Affiliate-2505,1134.99,1926,41,1,4716.57,2.167,27.19,4.16
2024-01-15,Email,Email-2401,2863.82,13616,158,7,17694.08,1.167,18.01,6.18
2024-04-15,Email,Email-2404,2265.9,9302,105,5,11810.4,1.133,21.5,5.21
2024-03-04,Display,Display-2403,1468.17,4065,47,1,3038.41,1.172,30.81,2.07
2023-08-14,Email,Email-2308,3000.55,13797,157,5,16272.94,1.142,19.05,5.42
2023-06-05,Affiliate,Affiliate-2306,428.89,933,18,0,2153.03,2.02,22.73,5.02
2023-08-07,Display,Display-2308,3063.13,8908,102,5,7688.78,1.148,29.95,2.51
2023-07-31,Paid Search,Paid-2307,978.86,1008,37,1,5493.13,3.718,26.1,5.61
2024-01-22,Email,Email-2401,1226.27,6487,74,4,11928.15,1.147,16.48,9.73
2024-08-19,Paid Search,Paid-2408,1605.18,1779,56,2,8583.65,3.16,28.54,5.35
2023-02-13,Social,Social-2302,1670.85,2802,72,2,6887.17,2.583,23.08,4.12
2024-03-25,Display,Display-2403,1197.54,3018,48,2,3578.24,1.603,24.75,2.99
2023-01-30,Paid Search,Paid-2301,7748.63,8652,262,9,30898.61,3.039,29.47,3.99
2023-06-05,Display,Display-2306,1339.35,3291,49,1,2680.08,1.501,27.1,2.0
2024-07-15,Affiliate,Affiliate-2407,2807.92,4853,76,4,11538.55,1.575,36.74,4.11
2023-01-02,Paid Search,Paid-2301,3968.29,4601,116,6,24623.21,2.527,34.12,6.2
2024-01-29,Paid Search,Paid-2401,1765.87,1732,46,2,7744.38,2.696,37.81,4.39
2024-04-01,Affiliate,Affiliate-2404,1858.91,3967,61,1,5649.62,1.548,30.27,3.04
2023-12-25,Display,Display-2312,1147.48,3600,49,2,3621.99,1.379,23.12,3.16
2025-05-19,Social,Social-2505,2427.78,3469,77,2,6312.39,2.238,31.27,2.6
2025-01-27,Email,Email-2501,2653.46,11814,111,4,12122.01,0.943,23.82,4.57
2024-09-02,Affiliate,Affiliate-2409,3000.6,6397,143,8,24888.81,2.247,20.87,8.29
2024-06-03,Paid Search,Paid-2406,1686.73,1907,51,2,8057.82,2.714,32.57,4.78
2023-01-02,Affiliate,Affiliate-2301,2132.23,4611,82,3,10030.34,1.799,25.71,4.7
2024-02-26,Affiliate,Affiliate-2402,1762.6,3602,79,3,10649.8,2.209,22.14,6.04
2023-04-24,Paid Search,Paid-2304,2125.37,2349,67,3,12112.06,2.857,31.66,5.7
2023-02-06,Social,Social-2302,2956.24,4957,100,3,7723.84,2.033,29.33,2.61
2025-01-27,Affiliate,Affiliate-2501,1682.85,3298,63,3,8915.59,1.927,26.48,5.3
2023-10-30,Social,Social-2310,1646.01,2510,53,1,3658.68,2.132,30.76,2.22
2024-10-07,Affiliate,Affiliate-2410,938.76,2021,33,1,5979.98,1.64,28.32,6.37
2024-09-02,Email,Email-2409,677.04,3230,32,1,3022.34,1.02,20.54,4.46
2023-07-24,Email,Email-2307,2203.58,10679,82,3,7805.64,0.768,26.85,3.54
2023-01-16,Affiliate,Affiliate-2301,1098.18,2201,38,2,7396.69,1.747,28.55,6.74
2023-08-28,Affiliate,Affiliate-2308,2131.32,3636,76,2,7140.54,2.101,27.89,3.35
2023-05-01,Social,Social-2305,3061.39,5244,125,5,9493.37,2.389,24.44,3.1
2023-08-21,Paid Search,Paid-2308,2277.76,2170,63,3,9981.53,2.933,35.79,4.38
2025-02-24,Email,Email-2502,1304.91,6193,73,4,9868.24,1.183,17.81,7.56
2023-03-20,Affiliate,Affiliate-2303,1351.82,2308,53,2,6597.28,2.299,25.47,4.88
2025-02-17,Social,Social-2502,2473.94,3808,78,3,6633.81,2.054,31.63,2.68
2023-08-14,Affiliate,Affiliate-2308,1512.06,3141,52,1,6002.62,1.664,28.94,3.97
