order_id,order_date,region,category,units,unit_price,revenue,discount_pct,returned
ORD-1026,2024-03-12,East,Electronics,1,850.58,939.04,0.2,No
ORD-1027,2024-03-15,South,Home,6,241.0,1602.17,0.05,No
ORD-1028,2024-03-20,South,Home,6,521.28,3477.98,0.15,No
ORD-1029,2024-03-20,West,Beauty,3,191.41,640.84,0.2,No
ORD-1030,2024-03-24,South,Beauty,1,873.03,977.79,0.2,No
ORD-1031,2024-03-24,South,Apparel,6,568.79,3835.92,0.0,No
ORD-1032,2024-03-29,East,Electronics,2,746.86,1684.92,0.05,Yes
ORD-1033,2024-03-31,South,Apparel,7,339.9,2693.37,0.0,No
ORD-1034,2024-04-01,South,Beauty,3,745.4,2540.32,0.15,No
ORD-1035,2024-04-04,East,Apparel,3,668.22,2285.31,,No
ORD-1036,2024-04-08,West,Beauty,6,622.07,4269.89,0.0,Yes
ORD-1037,2024-04-08,North,Home,1,861.44,988.93,0.0,No
ORD-1038,2024-04-12,West,Home,1,458.12,527.75,0.0,No
ORD-1039,2024-04-15,North,Electronics,6,443.77,3077.99,0.0,No
ORD-1040,2024-04-20,East,Home,7,659.85,5357.98,0.0,No
ORD-1041,2024-04-20,East,Apparel,7,771.34,6284.88,0.1,No
ORD-1042,2024-04-21,North,Beauty,1,381.36,445.43,0.0,No
ORD-1043,2024-04-28,South,Electronics,2,642.33,1505.62,0.2,No
ORD-1044,2024-05-05,East,Electronics,3,283.05,998.6,0.1,No
ORD-1045,2024-05-05,North,Home,5,550.33,3246.95,0.1,No
ORD-1046,2024-05-11,East,Home,7,719.95,5966.95,0.1,No
ORD-1047,2024-05-12,East,Beauty,6,170.95,1218.53,0.1,No
ORD-1048,2024-05-15,South,Home,3,687.72,2459.29,0.15,No
ORD-1049,2024-05-19,East,Apparel,7,132.04,1105.44,0.0,No
ORD-1050,2024-05-19,North,Apparel,2,867.51,2082.02,0.1,Yes
ORD-1051,2024-05-20,North,Apparel,1,485.56,584.61,0.1,No
ORD-1052,2024-05-22,South,Home,4,439.08,2121.63,0.15,No
ORD-1053,2024-05-24,North,Home,1,681.95,826.52,0.15,No
ORD-1054,2024-05-27,South,Apparel,5,528.17,3211.27,0.15,No
ORD-1055,2024-05-27,West,Electronics,7,690.06,5893.11,0.1,No
ORD-1056,2024-05-29,South,Home,1,186.11,227.8,0.0,No
ORD-1057,2024-06-10,South,Electronics,1,558.98,686.43,0.15,No
ORD-1058,2024-06-10,North,Electronics,2,555.32,1368.31,0.2,No
ORD-1059,2024-06-11,West,Apparel,2,847.05,2093.91,0.1,Yes
ORD-1060,2024-06-12,South,Beauty,4,150.89,748.41,0.05,No
ORD-1061,2024-06-12,West,Apparel,5,473.2,2943.3,0.0,No
ORD-1062,2024-06-12,South,Home,7,612.24,5348.53,0.05,No
ORD-1063,2024-06-20,South,Electronics,4,549.58,2752.3,0.1,No
ORD-1064,2024-06-20,West,Apparel,7,177.85,1563.66,0.15,No
ORD-1065,2024-06-20,East,Beauty,6,582.72,4405.36,,No
ORD-1066,2024-06-22,South,Beauty,6,293.31,2224.46,0.0,No
ORD-1067,2024-06-24,South,Home,2,272.53,691.14,0.0,No
ORD-1068,2024-06-28,West,Beauty,4,805.38,4097.77,,No
ORD-1069,2024-07-01,South,Apparel,7,274.32,2450.23,0.1,No
ORD-1070,2024-07-01,West,Electronics,6,474.35,3643.01,0.2,No
ORD-1071,2024-07-02,North,Electronics,2,705.22,1811.0,0.15,Yes
ORD-1072,2024-07-04,South,Electronics,6,671.71,5190.97,0.1,No
ORD-1073,2024-07-05,South,Beauty,6,551.7,4276.78,,No
ORD-1074,2024-07-05,West,Beauty,2,749.5,1942.7,0.15,No
ORD-1075,2024-07-06,North,Electronics,1,483.34,628.34,,No
ORD-1076,2024-07-07,East,Home,2,603.9,1574.97,0.2,No
ORD-1077,2024-07-07,East,Electronics,4,758.75,3969.78,0.15,No
ORD-1078,2024-07-14,East,Beauty,2,648.91,1702.74,0.0,No
ORD-1079,2024-07-14,East,Electronics,1,620.63,816.75,0.05,No
ORD-1080,2024-07-17,West,Home,1,436.78,576.55,0.05,No
ORD-1081,2024-07-19,North,Electronics,3,555.49,2206.41,0.0,No
ORD-1082,2024-07-22,South,Home,3,428.94,1708.9,0.15,No
ORD-1083,2024-07-24,North,Beauty,3,700.55,2799.4,0.05,No
ORD-1084,2024-07-30,North,Home,4,416.74,2227.06,0.15,No
ORD-1085,2024-07-31,North,Apparel,6,483.96,3891.04,0.1,No
ORD-1086,2024-08-01,West,Beauty,2,709.26,1906.49,0.05,No
ORD-1087,2024-08-04,West,Apparel,4,512.85,2765.29,,No
ORD-1088,2024-08-07,North,Beauty,6,383.67,3112.33,0.0,No
ORD-1089,2024-08-07,South,Beauty,1,764.92,1037.23,0.1,Yes
ORD-1090,2024-08-09,South,Apparel,7,417.15,3971.27,0.0,No
ORD-1091,2024-08-12,South,Home,7,778.89,7436.84,0.0,No
ORD-1092,2024-08-12,East,Beauty,3,732.49,3006.14,0.15,No
ORD-1093,2024-08-14,North,Electronics,7,468.89,4503.22,0.15,No
ORD-1094,2024-08-16,West,Electronics,2,676.05,1860.49,0.15,No
ORD-1095,2024-08-17,South,Apparel,7,146.82,1418.28,0.2,No
ORD-1096,2024-08-18,East,Electronics,5,424.04,2934.36,,No
ORD-1097,2024-08-21,East,Beauty,2,791.06,2195.98,0.0,No
ORD-1098,2024-08-22,North,Beauty,1,572.04,796.28,0.05,No
ORD-1099,2024-08-23,North,Apparel,3,555.1,2324.76,0.0,No
ORD-1100,2024-08-29,South,Apparel,6,638.5,5363.4,0.15,No
ORD-1101,2024-08-30,East,Home,2,648.58,1821.21,0.0,No
ORD-1102,2024-08-31,East,Apparel,4,575.21,3239.58,0.1,No
ORD-1103,2024-09-03,East,Electronics,1,448.09,632.7,0.2,No
ORD-1104,2024-09-04,North,Home,3,263.12,1117.73,0.0,Yes
ORD-1105,2024-09-07,West,Home,1,348.26,494.53,0.2,No
ORD-1106,2024-09-08,East,Electronics,7,348.48,3473.65,0.15,No
ORD-1107,2024-09-10,West,Beauty,4,455.98,2604.56,0.0,No
ORD-1108,2024-09-13,South,Home,6,899.27,7726.53,0.1,No
ORD-1109,2024-09-16,West,Beauty,1,394.99,567.21,0.0,No
ORD-1110,2024-09-20,North,Beauty,2,468.96,1350.6,0.15,No
ORD-1111,2024-09-21,North,Home,2,409.87,1183.7,0.0,No
ORD-1112,2024-09-23,North,Apparel,4,573.51,3321.77,0.05,No
ORD-1113,2024-09-28,North,Apparel,7,859.36,8734.54,0.05,No
ORD-1114,2024-10-11,North,Home,5,813.48,5922.13,0.05,No
ORD-1115,2024-10-17,North,Electronics,4,414.17,2418.75,0.2,No
ORD-1116,2024-10-18,South,Electronics,7,328.18,3363.19,0.2,No
ORD-1117,2024-10-22,North,Home,2,809.83,2377.66,0.0,No
ORD-1118,2024-10-23,South,Beauty,2,505.19,1487.28,0.15,No
ORD-1119,2024-10-25,North,Beauty,5,654.72,4831.83,0.0,No
ORD-1120,2024-10-26,East,Beauty,6,177.17,1573.27,0.0,No
ORD-1121,2024-10-27,North,Electronics,2,795.92,2362.29,0.05,No
ORD-1122,2024-10-28,North,Apparel,2,364.11,1083.59,0.2,No
ORD-1123,2024-10-29,West,Apparel,4,505.73,3018.2,0.1,Yes
ORD-1124,2024-10-30,South,Home,6,274.46,2463.55,0.1,No
ORD-1125,2024-11-01,East,Home,2,447.79,1343.37,0.15,No
ORD-1126,2024-11-05,East,Electronics,6,765.88,6911.3,0.05,No
ORD-1127,2024-11-06,East,Home,4,765.51,4617.56,0.05,No
ORD-1128,2024-11-09,North,Home,5,489.46,3700.32,0.15,No
ORD-1129,2024-11-15,South,Beauty,5,718.97,5449.79,0.0,No
ORD-1130,2024-11-15,North,Home,4,477.29,2901.92,0.2,No
ORD-1131,2024-11-16,East,Electronics,4,411.22,2506.8,0.05,No
ORD-1132,2024-11-18,West,Beauty,7,545.79,5837.77,0.1,No
ORD-1133,2024-11-18,West,Electronics,3,277.05,1273.32,0.2,No
ORD-1134,2024-11-24,North,Electronics,7,366.92,3945.12,0.15,No
ORD-1135,2024-11-30,North,Beauty,6,671.09,6200.87,0.15,No
ORD-1136,2024-12-01,North,Apparel,2,721.0,2226.45,0.15,No
ORD-1137,2024-12-10,North,Home,7,164.23,1779.6,0.0,No
ORD-1138,2024-12-11,East,Electronics,3,691.6,3220.09,0.05,Yes
ORD-1139,2024-12-14,East,Home,2,757.6,2357.65,0.15,No
ORD-1140,2024-12-16,North,Apparel,2,467.25,1457.82,0.0,No
ORD-1141,2024-12-19,West,Beauty,1,168.71,263.86,0.0,No
ORD-1142,2024-12-20,East,Home,3,652.67,3070.16,0.2,No
ORD-1143,2024-12-20,North,Beauty,1,312.01,490.48,0.15,No
ORD-1144,2024-12-21,East,Beauty,4,621.82,3919.95,0.0,No
ORD-1145,2024-12-24,West,Beauty,7,413.77,4576.3,0.0,No
ORD-1146,2024-12-27,North,Electronics,7,616.99,6841.19,0.05,No
ORD-1147,2024-12-28,South,Beauty,7,321.35,3572.13,0.2,No
ORD-1148,2024-12-29,East,Home,2,491.7,1565.57,0.1,No
ORD-1149,2024-12-30,South,Apparel,2,529.25,1689.37,0.0,No
ORD-1010,2024-01-23,East,Apparel,2,482.75,1004.12,0.0,No
ORD-1011,2024-02-04,South,Apparel,4,807.07,3370.32,0.0,No
ORD-1012,2024-02-04,South,Electronics,2,713.55,1495.6,0.05,No
